user_id,course_id,interaction_type,rating
U017,C15,VIEW,
U017,C15,BOOKMARK,
U017,C14,VIEW,
U017,C14,ENROLL,
U017,C14,COMPLETE,
U017,C14,RATE,4.5
U017,C09,VIEW,
U017,C09,BOOKMARK,
U017,C09,ENROLL,
U018,C16,VIEW,
U018,C16,BOOKMARK,
U018,C16,ENROLL,
U018,C16,COMPLETE,
U018,C16,RATE,5.0
U018,C03,VIEW,
U018,C17,VIEW,
U018,C17,BOOKMARK,
U018,C15,VIEW,
U018,C15,ENROLL,
U018,C15,COMPLETE,
U018,C15,RATE,4.5
U018,C13,VIEW,
U018,C13,BOOKMARK,
U019,C11,VIEW,
U019,C06,VIEW,
U019,C06,BOOKMARK,
U019,C12,VIEW,
U019,C04,VIEW,
U019,C01,VIEW,
U020,C21,VIEW,
U020,C21,BOOKMARK,
U020,C21,ENROLL,
U020,C21,COMPLETE,
U020,C21,RATE,4.5
U020,C18,VIEW,
U020,C05,VIEW,
U020,C05,BOOKMARK,
U020,C05,ENROLL,
U020,C06,VIEW,
U020,C06,BOOKMARK,
U020,C20,VIEW,
U020,C20,BOOKMARK,
U020,C07,VIEW,
U021,C06,VIEW,
U021,C06,BOOKMARK,
U021,C07,VIEW,
U021,C07,BOOKMARK,
U021,C10,VIEW,
U021,C09,VIEW,
U021,C16,VIEW,
U021,C16,BOOKMARK,
U021,C16,ENROLL,
U021,C16,COMPLETE,
U021,C16,RATE,3.0
U021,C08,VIEW,
U021,C08,BOOKMARK,
U021,C11,VIEW,
U021,C11,BOOKMARK,
U022,C13,VIEW,
U022,C13,BOOKMARK,
U022,C13,ENROLL,
U022,C03,VIEW,
U022,C03,BOOKMARK,
U022,C03,ENROLL,
U022,C12,VIEW,
U022,C12,BOOKMARK,
U023,C16,VIEW,
U023,C16,BOOKMARK,
U023,C16,ENROLL,
U023,C17,VIEW,
U023,C17,BOOKMARK,
U023,C11,VIEW,
U023,C11,ENROLL,
U023,C11,COMPLETE,
U023,C11,RATE,3.0
U024,C02,VIEW,
U024,C05,VIEW,
U024,C04,VIEW,
U025,C18,VIEW,
U025,C18,BOOKMARK,
U025,C18,ENROLL,
U025,C18,COMPLETE,
U025,C18,RATE,4.5
U025,C06,VIEW,
U025,C06,ENROLL,
U025,C06,COMPLETE,
U025,C06,RATE,2.5
U025,C21,VIEW,
U025,C20,VIEW,
U025,C20,BOOKMARK,
U025,C20,ENROLL,
U025,C13,VIEW,
U025,C13,BOOKMARK,
U026,C10,VIEW,
U026,C10,BOOKMARK,
U026,C10,ENROLL,
U026,C10,COMPLETE,
U026,C10,RATE,4.5
U026,C09,VIEW,
U026,C21,VIEW,
U026,C21,BOOKMARK,
U026,C08,VIEW,
U026,C08,BOOKMARK,
U026,C08,ENROLL,
U026,C06,VIEW,
U026,C16,VIEW,
U026,C16,BOOKMARK,
U026,C16,ENROLL,
U026,C16,COMPLETE,
U026,C16,RATE,3.0
U026,C02,VIEW,
U027,C15,VIEW,
U027,C15,BOOKMARK,
U027,C15,ENROLL,
U027,C15,COMPLETE,
U027,C15,RATE,5.0
U027,C11,VIEW,
U027,C11,BOOKMARK,
U027,C12,VIEW,
U027,C12,ENROLL,
U027,C14,VIEW,
U027,C14,BOOKMARK,
U027,C21,VIEW,
U027,C21,BOOKMARK,
U027,C03,VIEW,
U027,C03,BOOKMARK,
U027,C03,ENROLL,
U027,C13,VIEW,
U027,C05,VIEW,
U027,C05,BOOKMARK,
U028,C17,VIEW,
U028,C17,BOOKMARK,
U028,C17,ENROLL,
U028,C15,VIEW,
U028,C15,BOOKMARK,
U028,C09,VIEW,
U028,C09,BOOKMARK,
U028,C09,ENROLL,
U028,C13,VIEW,
U028,C13,ENROLL,
U028,C19,VIEW,
U028,C19,BOOKMARK,
U028,C16,VIEW,
U028,C16,BOOKMARK,
U028,C16,ENROLL,
U028,C16,COMPLETE,
U028,C16,RATE,5.0
U028,C03,VIEW,
U028,C03,ENROLL,
U028,C03,COMPLETE,
U028,C03,RATE,5.0
U029,C03,VIEW,
U029,C03,BOOKMARK,
U029,C02,VIEW,
U029,C02,ENROLL,
U029,C02,COMPLETE,
U029,C02,RATE,4.5
U029,C04,VIEW,
U029,C04,ENROLL,
U029,C19,VIEW,
U029,C19,BOOKMARK,
U029,C01,VIEW,
U029,C01,BOOKMARK,
U029,C01,ENROLL,
U029,C01,COMPLETE,
U029,C01,RATE,4.5
U029,C11,VIEW,
U029,C15,VIEW,
U029,C15,BOOKMARK,
U030,C09,VIEW,
U030,C20,VIEW,
U030,C21,VIEW,
U030,C21,ENROLL,
U030,C08,VIEW,
U030,C08,BOOKMARK,
U030,C08,ENROLL,
U030,C08,COMPLETE,
U030,C08,RATE,3.0
U030,C12,VIEW,
U030,C18,VIEW,
U030,C18,ENROLL,
U030,C18,COMPLETE,
U030,C18,RATE,5.0
U030,C01,VIEW,
U030,C01,BOOKMARK,
U030,C01,ENROLL,
U031,C07,VIEW,
U031,C07,ENROLL,
U031,C10,VIEW,
U031,C10,ENROLL,
U031,C17,VIEW,
U031,C17,BOOKMARK,
U031,C17,ENROLL,
U031,C17,COMPLETE,
U031,C17,RATE,3.5
U031,C08,VIEW,
U031,C08,BOOKMARK,
U031,C14,VIEW,
U031,C21,VIEW,
U031,C21,BOOKMARK,
U031,C15,VIEW,
U031,C15,ENROLL,
U031,C15,COMPLETE,
U031,C15,RATE,2.5
U031,C20,VIEW,
U031,C05,VIEW,
U031,C05,BOOKMARK,
U032,C13,VIEW,
U032,C13,ENROLL,
U032,C13,COMPLETE,
U032,C13,RATE,5.0
U032,C06,VIEW,
U032,C03,VIEW,
U032,C03,BOOKMARK,
U032,C11,VIEW,
U033,C19,VIEW,
U033,C19,BOOKMARK,
U033,C10,VIEW,
U033,C10,BOOKMARK,
U033,C10,ENROLL,
U033,C10,COMPLETE,
U033,C10,RATE,2.5
U033,C15,VIEW,
U033,C16,VIEW,
U033,C16,BOOKMARK,
U033,C16,ENROLL,
U033,C14,VIEW,
U033,C14,ENROLL,
U033,C14,COMPLETE,
U033,C14,RATE,3.0
U034,C12,VIEW,
U034,C12,BOOKMARK,
U034,C06,VIEW,
U034,C06,BOOKMARK,
U034,C06,ENROLL,
U034,C08,VIEW,
U034,C08,BOOKMARK,
U034,C08,ENROLL,
U034,C08,COMPLETE,
U034,C08,RATE,2.5
U035,C02,VIEW,
U035,C02,BOOKMARK,
U035,C21,VIEW,
U035,C21,BOOKMARK,
U035,C19,VIEW,
U035,C19,BOOKMARK,
U035,C05,VIEW,
U035,C05,BOOKMARK,
U035,C03,VIEW,
U035,C03,BOOKMARK,
U035,C03,ENROLL,
U035,C18,VIEW,
U035,C18,BOOKMARK,
U035,C18,ENROLL,
U036,C10,VIEW,
U036,C09,VIEW,
U036,C09,BOOKMARK,
U036,C09,ENROLL,
U036,C09,COMPLETE,
U036,C09,RATE,4.5
U036,C06,VIEW,
U036,C06,BOOKMARK,
U036,C12,VIEW,
U036,C07,VIEW,
U036,C07,BOOKMARK,
U036,C08,VIEW,
U036,C08,BOOKMARK,
U036,C08,ENROLL,
U036,C08,COMPLETE,
U036,C08,RATE,5.0
U037,C18,VIEW,
U037,C12,VIEW,
U037,C14,VIEW,
U037,C14,ENROLL,
U037,C14,COMPLETE,
U037,C14,RATE,4.5
U037,C15,VIEW,
U037,C15,ENROLL,
U037,C15,COMPLETE,
U037,C15,RATE,4.0
U037,C03,VIEW,
U037,C03,BOOKMARK,
U037,C13,VIEW,
U037,C13,BOOKMARK,
U037,C19,VIEW,
U037,C19,BOOKMARK,
U037,C16,VIEW,
U037,C16,BOOKMARK,
U038,C15,VIEW,
U038,C15,BOOKMARK,
U038,C17,VIEW,
U038,C17,BOOKMARK,
U038,C03,VIEW,
U038,C03,BOOKMARK,
U038,C03,ENROLL,
U038,C16,VIEW,
U038,C16,BOOKMARK,
U038,C16,ENROLL,
U038,C16,COMPLETE,
U038,C16,RATE,4.0
U038,C13,VIEW,
U038,C13,ENROLL,
U038,C13,COMPLETE,
U038,C13,RATE,4.5
U039,C05,VIEW,
U039,C05,BOOKMARK,
U039,C05,ENROLL,
U039,C02,VIEW,
U039,C12,VIEW,
U039,C12,ENROLL,
U039,C04,VIEW,
U039,C04,BOOKMARK,
U039,C01,VIEW,
U039,C01,BOOKMARK,
U039,C01,ENROLL,
U039,C01,COMPLETE,
U039,C01,RATE,4.5
U039,C17,VIEW,
U039,C17,BOOKMARK,
U040,C02,VIEW,
U040,C05,VIEW,
U040,C05,ENROLL,
U040,C10,VIEW,
U040,C10,BOOKMARK,
U040,C04,VIEW,
U041,C16,VIEW,
U041,C16,BOOKMARK,
U041,C06,VIEW,
U041,C08,VIEW,
U041,C08,BOOKMARK,
U041,C10,VIEW,
U041,C10,BOOKMARK,
U041,C10,ENROLL,
U041,C09,VIEW,
U041,C09,BOOKMARK,
U042,C12,VIEW,
U042,C12,BOOKMARK,
U042,C02,VIEW,
U042,C02,BOOKMARK,
U042,C11,VIEW,
U042,C15,VIEW,
U042,C15,ENROLL,
U042,C13,VIEW,
U042,C13,BOOKMARK,
U042,C13,ENROLL,
U042,C14,VIEW,
U042,C14,ENROLL,
U042,C08,VIEW,
U042,C08,ENROLL,
U042,C08,COMPLETE,
U042,C08,RATE,3.5
U042,C03,VIEW,
U043,C16,VIEW,
U043,C16,BOOKMARK,
U043,C16,ENROLL,
U043,C03,VIEW,
U043,C03,BOOKMARK,
U043,C13,VIEW,
U043,C12,VIEW,
U043,C21,VIEW,
U044,C12,VIEW,
U044,C06,VIEW,
U044,C06,BOOKMARK,
U044,C06,ENROLL,
U044,C08,VIEW,
U044,C08,BOOKMARK,
U044,C01,VIEW,
U044,C01,BOOKMARK,
U044,C11,VIEW,
U044,C05,VIEW,
U044,C05,BOOKMARK,
U044,C05,ENROLL,
U045,C17,VIEW,
U045,C17,BOOKMARK,
U045,C18,VIEW,
U045,C18,BOOKMARK,
U045,C21,VIEW,
U045,C21,ENROLL,
U045,C21,COMPLETE,
U045,C21,RATE,4.5
U045,C13,VIEW,
U045,C16,VIEW,
U045,C16,BOOKMARK,
U045,C16,ENROLL,
U045,C16,COMPLETE,
U045,C16,RATE,2.5
U045,C06,VIEW,
U045,C06,BOOKMARK,
U045,C06,ENROLL,
U045,C04,VIEW,
U046,C08,VIEW,
U046,C08,BOOKMARK,
U046,C21,VIEW,
U046,C21,BOOKMARK,
U046,C21,ENROLL,
U046,C21,COMPLETE,
U046,C21,RATE,3.5
U046,C07,VIEW,
U046,C07,BOOKMARK,
U046,C07,ENROLL,
U046,C09,VIEW,
U046,C09,ENROLL,
U046,C06,VIEW,
U046,C06,BOOKMARK,
U046,C01,VIEW,
U047,C03,VIEW,
U047,C03,BOOKMARK,
U047,C03,ENROLL,
U047,C03,COMPLETE,
U047,C03,RATE,5.0
U047,C11,VIEW,
U047,C11,BOOKMARK,
U047,C11,ENROLL,
U047,C12,VIEW,
U047,C12,BOOKMARK,
U047,C12,ENROLL,
U047,C12,COMPLETE,
U047,C12,RATE,5.0
U047,C14,VIEW,
U048,C15,VIEW,
U048,C13,VIEW,
U048,C13,BOOKMARK,
U048,C20,VIEW,
U048,C20,BOOKMARK,
U048,C20,ENROLL,
U048,C21,VIEW,
U048,C21,ENROLL,
U048,C21,COMPLETE,
U048,C21,RATE,3.5
U048,C16,VIEW,
U048,C16,BOOKMARK,
U048,C12,VIEW,
U048,C12,BOOKMARK,
U048,C18,VIEW,
U048,C18,BOOKMARK,
U048,C18,ENROLL,
U049,C16,VIEW,
U049,C16,BOOKMARK,
U049,C01,VIEW,
U049,C12,VIEW,
U049,C12,BOOKMARK,
U049,C04,VIEW,
U049,C04,ENROLL,
U049,C06,VIEW,
U049,C06,BOOKMARK,
U049,C02,VIEW,
U049,C02,ENROLL,
U049,C02,COMPLETE,
U049,C02,RATE,5.0
U050,C02,VIEW,
U050,C02,BOOKMARK,
U050,C02,ENROLL,
U050,C02,COMPLETE,
U050,C02,RATE,5.0
U050,C19,VIEW,
U050,C19,BOOKMARK,
U050,C01,VIEW,
U050,C01,BOOKMARK,
U050,C01,ENROLL,
U050,C21,VIEW,
U050,C21,BOOKMARK,
U050,C10,VIEW,
U050,C10,BOOKMARK,
U050,C10,ENROLL,
U050,C18,VIEW,
U050,C18,ENROLL,
U050,C18,COMPLETE,
U050,C18,RATE,4.0
U050,C04,VIEW,
U050,C04,BOOKMARK,
U050,C04,ENROLL,
U050,C04,COMPLETE,
U050,C04,RATE,4.0
U050,C20,VIEW,
U050,C06,VIEW,
